customer_id,age,gender,employment_status,annual_income,account_age_months,avg_monthly_balance,num_deposits_per_month,avg_deposit_amount,debit_card_usage_frequency,debit_card_spending,mobile_banking_logins,online_transfer_frequency,atm_withdrawal_frequency,credit_score,num_open_loans,total_outstanding_debt,late_payment_count,loan_default_history,fraud_flag,loan_application_amount,credit_risk
CUST_00000,58,Male,Unemployed,58137.75119211238,115,524.6794072462878,1,171.34236929099654,49,768.8775105740301,9,16,1,539,5,14435.423444947353,2,0,0,15510.576882388934,1
CUST_00001,48,Male,Self-Employed,26174.92282719729,32,2635.2033570009285,1,985.6071637873608,1,580.2877854970287,9,1,2,494,5,11263.099340714489,2,0,0,14819.436497721743,1
CUST_00002,34,Other,Unemployed,75566.83726451031,14,2334.341061149544,9,994.3101191425317,42,564.0135083010748,36,5,6,437,3,15017.14413151754,5,0,0,10909.806507254925,1
CUST_00003,62,Male,Self-Employed,35197.96151565097,179,2425.3843322047287,10,366.11534622663174,4,838.4892001363507,31,7,7,809,1,12626.138476015363,2,0,0,500.0,0
CUST_00004,27,Female,Self-Employed,12136.998348940986,225,10.0,8,786.752258216459,16,462.4955216963545,35,16,3,522,1,13576.704319639748,4,0,0,9514.591618175735,1
CUST_00005,40,Male,Employed,76906.81219806187,84,1260.6545348369434,2,227.1102552464979,36,0.0,63,5,7,727,4,1267.3283195413042,2,0,0,5424.024525405304,0
CUST_00006,58,Female,Employed,14485.73000027288,48,1437.594030517838,3,20.0,34,633.589111791305,14,11,0,754,1,13356.388071594798,2,1,0,9004.582223021305,1
CUST_00007,38,Female,Employed,67355.21792090166,173,1959.9971831810958,0,426.2433205739195,7,788.186496204049,72,15,2,307,5,18254.853569100622,5,0,0,12632.80558360227,1
CUST_00008,42,Female,Employed,62980.151375765345,132,2220.699648936612,0,584.1812702083012,42,618.8137475097863,15,5,3,515,3,8376.686391266048,7,0,0,9538.756785133355,1
CUST_00009,30,Female,Self-Employed,55751.973821957785,99,2527.7005123219164,3,1025.4896632837772,2,180.26330491816918,45,1,4,583,1,17976.62691776167,6,0,0,2896.67025655018,1
CUST_00010,30,Female,Unemployed,40590.050932101854,205,10.0,1,823.5928297712869,2,339.6421315739899,43,2,8,792,3,9880.319694396354,7,0,0,1746.59957724559,1
CUST_00011,43,Male,Employed,59050.35130146039,228,858.9596147631813,7,832.7409107851512,0,465.1530035835268,75,8,1,738,4,8443.458283353542,4,0,0,4463.366992227435,1
CUST_00012,55,Female,Employed,68872.72772668191,82,1546.239070550259,3,444.95243185074526,23,169.3592195624601,34,18,6,622,3,8582.816403298548,7,0,0,7550.937631919969,1
CUST_00013,59,Male,Employed,32255.411063441486,56,2163.5992387626757,2,614.4960435855147,44,355.8830135459806,50,9,2,712,4,5874.614219164412,2,1,0,14161.10884007181,1
CUST_00014,43,Female,Unemployed,67574.7261136307,37,2141.4493732208457,2,474.52568654579363,29,848.7020914013126,57,12,9,516,4,12430.792651889022,7,1,0,9194.05481786425,1
CUST_00015,22,Other,Employed,66755.74121487039,54,1879.9219940034404,5,371.2590975395671,41,251.39187604995118,4,19,1,444,4,8255.800432105858,0,0,0,7444.202191292932,1
CUST_00016,41,Female,Unemployed,55274.919636588,163,990.3513265610659,11,592.20520055446,25,425.7545002176214,37,12,8,473,0,8715.404235873259,6,0,0,7078.837921097145,1
CUST_00017,21,Other,Self-Employed,40316.452194539976,215,1092.1594480379542,5,826.0793347837168,37,679.1594129104088,5,19,2,569,5,7894.220599505108,0,1,0,7138.065141110352,1
CUST_00018,43,Female,Self-Employed,66838.23256727797,86,996.4409570756243,5,599.5765182015289,42,97.58929833871002,50,14,7,328,2,13962.75256656291,6,0,0,11803.287299926738,1
CUST_00019,63,Female,Self-Employed,59149.633210925414,74,715.1571757882426,5,686.7740657012595,39,838.9937703752988,13,12,0,519,5,4405.487785984864,1,0,0,3263.4288880878994,1
CUST_00020,49,Female,Unemployed,31712.72606249779,181,703.9534872303454,7,1043.2201838189867,42,345.57485401585734,47,12,4,800,3,15552.932438140786,0,0,0,13131.612375365996,0
CUST_00021,57,Other,Employed,43387.595442171536,28,627.4454042388792,7,624.7359534582538,37,236.73373240840436,11,5,4,348,5,15012.578645791406,6,0,0,11347.384894057279,1
CUST_00022,21,Other,Employed,64742.9888915726,227,1768.7601096315636,8,333.111679154238,43,846.9348249369618,51,17,5,301,1,15050.567214689276,4,0,0,6797.594952074049,1
CUST_00023,40,Female,Employed,52062.4511078152,192,1599.4643872703605,0,997.2087325604336,49,717.9409140826997,67,6,6,369,2,6116.489173423375,2,0,0,20297.20384169389,1
CUST_00024,52,Male,Employed,69547.69210001586,63,758.5706133629787,9,893.0473769778996,2,243.7833399531056,58,2,2,345,5,13431.511490566012,1,1,0,12621.274524830447,1
